NU_CPF,NU_LONGITUDE,NU_LATITUTE,DH_LOCALIZACAO
22597006350,-478879054779631,-15794087361574,23/03/2020 23:20:32
39131174630,-482554060475455,-160408908442747,23/03/2020 23:20:32
11123861078,-481695617895177,-157441057777444,23/03/2020 23:20:32
48310126930,-478780053252093,-156017931470013,23/03/2020 23:20:32
89810524071,-478877751648,-156437235005642,23/03/2020 23:20:32
60034848231,-479155684460735,-156371080432070,23/03/2020 23:20:32
56139523985,-479224081885805,-155851581971559,23/03/2020 23:20:32
33985779545,-475610840377369,-157629514778055,23/03/2020 23:20:32
46791901148,-476263085292316,-155187379569514,23/03/2020 23:20:32
74704526138,-4766797245761,-155555892846536,23/03/2020 23:20:32
13263687617,-475327964336826,-156304409083520,23/03/2020 23:20:32
85935472603,-476359262414785,-156706064377775,23/03/2020 23:20:32
8610781307,-47655143499204,-157597427892890,23/03/2020 23:20:32
24317596323,-473644966882018,-157072280368613,23/03/2020 23:20:32
69248441944,-476503952935585,-157163134858038,23/03/2020 23:20:32
35402216902,-477237679961068,-156371420084553,23/03/2020 23:20:32
17762263835,-477468204106324,-155892267847033,23/03/2020 23:20:32
42788685726,-474554770517697,-155481871950585,23/03/2020 23:20:32
32998577989,-475538105606774,-159620836611843,23/03/2020 23:20:32
28883244260,-475197079451201,-15913578356877,23/03/2020 23:20:32
87465447619,-473772706927214,-160075131872157,23/03/2020 23:20:32
76013154866,-474985053696633,-159711464316086,23/03/2020 23:20:32
235933375,-475590561246137,-160069265807491,23/03/2020 23:20:32
56223173678,-482199650784039,-158051379648070,23/03/2020 23:20:32
43357613144,-482166747726525,-158204744501817,23/03/2020 23:20:32
21335208237,-481553450640677,-15878061119183,23/03/2020 23:20:32
97224614993,-482381602548401,-159396712822170,23/03/2020 23:20:32
43461622531,-482285166790706,-159360086828219,23/03/2020 23:20:32
43345418709,-482416695689279,-159399680526205,23/03/2020 23:20:32
22265096441,-48222923712896,-159397262360606,23/03/2020 23:20:32
66038077629,-482291088910266,-159476056646296,24/03/2020 23:20:32
